name;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;min_income;area
Suite Room 1 at MetroPoint,Kasem,Bang Kapi,13.7703,100.63148,Private room,1905.0,1.0,0.0,3.0,365.0,1905.0,East Bangkok;;;;;;;;;;;;
Central Bangkok Condominium,Aggarat,Huai Khwang,13.77302,100.57755,Private room,1212.0,1.0,0.0,1.0,365.0,1212.0,Central Bangkok;;;;;;;;;;;;
Cool and Comfortable MRT in the Shadows of Silom,Evan,Sathon,13.72062,100.54707,Entire home/apt,600.0,1.0,146.0,37.0,358.0,600.0,South Bangkok;;;;;;;;;;;;
Artsy 1Bedroom On The Top Floor BKK,Sornkrit,Phaya Thai,13.78756,100.55304,Entire home/apt,3000.0,1.0,0.0,1.0,365.0,3000.0,Central Bangkok;;;;;;;;;;;;
Reservations are not accepted from March to April,Vincent,Huai Khwang,13.79654,100.57543,Entire home/apt,2500.0,2.0,0.0,1.0,359.0,5000.0,Central Bangkok;;;;;;;;;;;;
Spacious 1BR with Spectacular View,Ome,Khlong Toei,13.72635,100.57211,Entire home/apt,2123.0,3.0,210.0,3.0,294.0,6369.0,Central Bangkok;;;;;;;;;;;;
One bed room comfortable condo,Sina,Vadhana,13.70714,100.60281,Entire home/apt,2236.0,1.0,0.0,1.0,365.0,2236.0,Central Bangkok;;;;;;;;;;;;
45 sq.m. room w/Kitchen 1 step from BTS,Kiat,Phra Khanong,13.69011,100.60844,Entire home/apt,2275.0,7.0,12.0,1.0,98.0,15925.0,South Bangkok;;;;;;;;;;;;
✵✵Cool Calm and Quiet Near MRT Silom and Center✵✵,Evan,Sathon,13.72065,100.54713,Entire home/apt,736.0,1.0,120.0,37.0,321.0,736.0,South Bangkok;;;;;;;;;;;;
Prima Condo 1BR+Internet near Suvarnabhumi airport,GrongGaew,Suanluang,13.7141,100.64207,Entire home/apt,1004.0,3.0,0.0,4.0,90.0,3012.0,South Bangkok;;;;;;;;;;;;
Luxury Apartment type 06,Nantiruj,Khlong Toei,13.73833,100.55635,Private room,1347.0,2.0,40.0,5.0,330.0,2694.0,Central Bangkok;;;;;;;;;;;;
8-bed Room/in Ratchada/Wifi,Siamaze,Din Daeng,13.78653,100.56912,Private room,2000.0,1.0,23.0,8.0,90.0,2000.0,Central Bangkok;;;;;;;;;;;;
Nantiruj  Apartment  94 Sqm.   *,Nantiruj,Khlong Toei,13.73892,100.55673,Entire home/apt,1850.0,2.0,6.0,5.0,330.0,3700.0,Central Bangkok;;;;;;;;;;;;
100 SQM Spacious 2BR - 450 m from RN03 station,Tatiya,Chatu Chak,13.84279,100.56287,Entire home/apt,2236.0,2.0,215.0,13.0,325.0,4472.0,North Bangkok;;;;;;;;;;;;
Homey Studio Apt in Upscale Area,Add,Vadhana,13.73767,100.58381,Entire home/apt,1712.0,2.0,41.0,1.0,333.0,3424.0,Central Bangkok;;;;;;;;;;;;
